text	label	cleaned_text
Practices that we thought impossible, because they are obviously unacceptable, are actually spread - as hired by the elected officials of their own family.	1	Practices thought impossible obviously unacceptable actually spread hired elected official family
To help new teachers remain in the profession, we will offer forgiveness on student loan repayments while they are teaching and bring in dedicated support to help them throughout their careers.	1	To help new teacher remain profession offer forgiveness student loan repayment teaching bring dedicated support help throughout career
Creating a sustainable elderly care system means making decisions about how the rising budget devoted to pensioners is spent, so we will target help where it is needed most.	0	Creating sustainable elderly care system mean making decision rising budget devoted pensioner spent target help needed most
For this reason, it may be a useful signal to introduce a roof to 40% taxation in the Constitution in the ratio between tax revenues and gross domestic product.	0	For reason may useful signal introduce roof 40 taxation Constitution ratio tax revenue gross domestic product
We have already strengthened ministerial scrutiny and control in respect of civil nuclear power	1	We already strengthened ministerial scrutiny control respect civil nuclear power
increase American competitiveness,	0	increase American competitiveness
First, that the service should meet the needs of everyone, no matter who they are or where they live.	1	First service meet need everyone matter live
Democrats will fight any attempts by Republicans in Congress to privatize, voucherize, or “phase out” Medicare as we know it.	1	Democrats fight attempt Republicans Congress privatize voucherize “phase out” Medicare know it
It is also not fair that taxpayers should have to pay for 18-21 year-olds on Jobseeker’s Allowance to claim Housing Benefit in order to leave home.	0	It also fair taxpayer pay 1821 yearolds Jobseeker’s Allowance claim Housing Benefit order leave home
Revaluate the merit scholarships.	1	Revaluate merit scholarship
higher academic standards;	1	higher academic standard
nor is it sustainable for today’s younger people who will potentially one day face care costs themselves.	1	sustainable today’s younger people potentially one day face care cost themselves
Business owners who abuse pension funds and put them at risk, sometimes for their own lavish enrichment, are entirely in the wrong.	1	Business owner abuse pension fund put risk sometimes lavish enrichment entirely wrong
while protecting the patientphysician relationship based on mutual trust, informed consent, and privileged patient confidentiality.	1	protecting patientphysician relationship based mutual trust informed consent privileged patient confidentiality
Corporation Tax is due to fall to seventeen per cent by 2020 – the lowest rate of any developed economy – and we will stick to that plan, because it will help to bring huge investment and many thousands of jobs to the UK.	0	Corporation Tax due fall seventeen per cent 2020 – lowest rate developed economy – stick plan help bring huge investment many thousand job UK
We will prevent predatory lending by defending the Consumer Financial Protection Bureau (CFPB).	1	We prevent predatory lending defending Consumer Financial Protection Bureau CFPB
State-regions pact to use the regional operational plans of the European Social Fund in all regions for microcredit projects, in support of small businesses and self-employed workers who have difficulties in accessing bank credit.	0	Stateregions pact use regional operational plan European Social Fund region microcredit project support small business selfemployed worker difficulty accessing bank credit
Lower payroll taxes on small businesses and workers by more than 20 percent	0	Lower payroll tax small business worker 20 percent
Instead, we will carry out our plan to lower the tax rate on small businesses – which we've already lowered from 13 percent to 11 percent – another two percentage points, to nine percent, by 2019.	0	Instead carry plan lower tax rate small business – weve already lowered 13 percent 11 percent – another two percentage point nine percent 2019
Our future elected officials will have the absolute ban on hiring family members in their team.	1	Our future elected official absolute ban hiring family member team
We do not intend to demagogically rent to credit institutions the fault of the crisis, finding an easy scapegoat against which to convey people's anger.	1	We intend demagogically rent credit institution fault crisis finding easy scapegoat convey people anger
We propose wherever feasible to leave resources where they originate: in the homes and neighborhoods of the taxpayers.	0	We propose wherever feasible leave resource originate home neighborhood taxpayer
As we leave the European Union, we want to negotiate a new deep and special partnership with the EU, which will allow free trade between the UK and the EU’s member states.	0	As leave European Union want negotiate new deep special partnership EU allow free trade UK EU’s member state
We will also oppose threats to the public health of these communities from harmful and dangerous extraction practices, like mountaintop removal mining operations.	1	We also oppose threat public health community harmful dangerous extraction practice like mountaintop removal mining operation
We will replace the Jobseeker’s Allowance for 18-21 year-olds with a Youth Allowance that will be time-limited to six months, after which young people will have to take an apprenticeship, a traineeship or do daily community work for their benefits.	0	We replace Jobseeker’s Allowance 1821 yearolds Youth Allowance timelimited six month young people take apprenticeship traineeship daily community work benefit
Less taxes can be and owed.	0	Less tax owed
The federal government should set an example in making those adaptations, especially in promoting portability in pension plans and health insurance.	1	The federal government set example making adaptation especially promoting portability pension plan health insurance
And we will make investments in affordable housing near good jobs and good schools.	1	And make investment affordable housing near good job good school
The  same  holds  true  for  the  equity  market regulated  by  the  Securities  and  Exchange  Commission.	0	The hold true equity market regulated Securities Exchange Commission
Our “tax lock” legislation will prohibit income and sales tax rate increases and discretionary payroll tax hikes on Canadian businesses and workers for the next four years.	0	Our “tax lock” legislation prohibit income sale tax rate increase discretionary payroll tax hike Canadian business worker next four year
Increase in taxation on the remaining unproductive income (speculative funds, unwanted real estate, etc.).	0	Increase taxation remaining unproductive income speculative fund unwanted real estate etc
Those people did the right thing.	0	Those people right thing
Enough of the caught houses for fines in the highway code!	0	Enough caught house fine highway code
and claw back tax breaks for companies that ship jobs overseas, using the proceeds to reinvest in communities and workers at home instead.	0	claw back tax break company ship job overseas using proceeds reinvest community worker home instead
We will continue to fight to expand access to care for addiction services,	1	We continue fight expand access care addiction service
The suspicion has settled, which nourishes the extremes and weakens our political life.	1	The suspicion settled nourishes extreme weakens political life
It opens markets, grows Canadian businesses, and creates good-paying middle class jobs – jobs that pay wages that are 50 percent higher than industries that are not export intensive.	0	It open market grows Canadian business creates goodpaying middle class job – job pay wage 50 percent higher industry export intensive
We also recognise that government can improve the general business environment for SMEs, so we will use our buying power to ensure that big contractors comply with the Prompt Payment Code both on government contracts and in their work with others.	0	We also recognise government improve general business environment SMEs use buying power ensure big contractor comply Prompt Payment Code government contract work others
The situation of public pension systems demands immediate remedial action.	1	The situation public pension system demand immediate remedial action
The Conservative Party is the party of enterprise and of the entrepreneur.	0	The Conservative Party party enterprise entrepreneur
The Convention will look at extending democracy locally, regionally and nationally, considering the option of a more federalised country.	0	The Convention look extending democracy locally regionally nationally considering option federalised country
Eliminate  the  taxes  on  interest,  dividends, and  capital  gains  altogether  for  lower  and middleincome  taxpayers;	0	Eliminate tax interest dividend capital gain altogether lower middleincome taxpayer
Attention to the safety problem of all school structures, making the funds intended for school construction immediately allocated and not yet spent and excluding them from the stability pact immediately available.	1	Attention safety problem school structure making fund intended school construction immediately allocated yet spent excluding stability pact immediately available
A re-elected Conservative Government will commit to completing the devolution of land and resource powers to the Government of Nunavut over the next four years.	0	A reelected Conservative Government commit completing devolution land resource power Government Nunavut next four year
and strengthen our energy industry.	0	strengthen energy industry
We will hold schools, districts, communities, and states accountable for raising achievement levels for all students—	1	We hold school district community state accountable raising achievement level students—
and, if this is contributing to putting the dream of homeownership out of reach of Canadians, we'll work in coordination with provincial governments to take the appropriate action.	0	and contributing putting dream homeownership reach Canadians well work coordination provincial government take appropriate action
We will also continue to protect consumers and defend the CFPB from Republican attacks.	1	We also continue protect consumer defend CFPB Republican attack
Require the Canadian International Trade Tribunal to carry out an automatic five-year review of every finding of non-compliance, to ensure the conflict has been resolved in a satisfactory manner.	0	Require Canadian International Trade Tribunal carry automatic fiveyear review every finding noncompliance ensure conflict resolved satisfactory manner
The liberalization of the rail wanted by the European Union will be refused.	1	The liberalization rail wanted European Union refused
Starting with the UK Government’s arm’s-length bodies, we will start moving significant numbers of UK Government civil servants and other public servants out of London and the south-east to cities around the UK.	0	Starting UK Government’s arm’slength body start moving significant number UK Government civil servant public servant London southeast city around UK
This will require careful deliberation but we can state now that we will require bidders to be clear about their intentions from the outset of the bid process;	1	This require careful deliberation state require bidder clear intention outset bid process
We do not offer yet another madeinWashington package of subsidies and spending to create temporary or artificial jobs.	0	We offer yet another madeinWashington package subsidy spending create temporary artificial job
The system is not working when we have a rigged economy in which ordinary Americans work longer hours for lower wages,	1	The system working rigged economy ordinary Americans work longer hour lower wage
The Trans-Pacific Partnership is a historic agreement that will protect and create jobs, and grow Canada's economy now and in the future.	0	The TransPacific Partnership historic agreement protect create job grow Canadas economy future
without meddling by special interests.	1	without meddling special interest
We will provide national leadership and join with the provinces and territories to take action on climate change,	0	We provide national leadership join province territory take action climate change
Democrats believe all students should be taught to high academic standards.	1	Democrats believe student taught high academic standard
This Government was the first in post-war history to reduce the burden of regulation.	0	This Government first postwar history reduce burden regulation
The Democratic Party is committed to assisting the estimated 20 million people struggling with addiction in this country to find and sustain healthy lives by encouraging full recovery and integration into society	1	The Democratic Party committed assisting estimated 20 million people struggling addiction country find sustain healthy life encouraging full recovery integration society
and raise costs for producers due to increased regulation.	0	raise cost producer due increased regulation
We call for expanded support for the stemcell research that now offers the greatest hope for many afflictions–	1	We call expanded support stemcell research offer greatest hope many afflictions–
Strengthen the link between the training system and the company and to re -evaluate humanistic culture, which constitutes one of Italy's most important tools for cultural growth.	1	Strengthen link training system company evaluate humanistic culture constitutes one Italys important tool cultural growth
This is why Democrats will protect proven programs like the Supplemental Nutrition Assistance Program (SNAP)—our nation's most important anti-hunger program—that help struggling families put food on the table.	1	This Democrats protect proven program like Supplemental Nutrition Assistance Program SNAP—our nation important antihunger program—that help struggling family put food table
Markets need rules and these rules need to be updated to reflect our changing economy.	1	Markets need rule rule need updated reflect changing economy
In the field of school, it is necessary to rationalize public investments to ensure that resources are really used for the constant training of teachers and for the safety of educational institutions, which we imagine as cultural and aggregative poles for the territory in which they are inserted, also openbeyond the didactic time.	1	In field school necessary rationalize public investment ensure resource really used constant training teacher safety educational institution imagine cultural aggregative pole territory inserted also openbeyond didactic time
 Without  disadvantaging  retirees  or those  nearing  retirement,  the  age  eligibility  for Medicare  must  be  made  more  realistic  in  terms  of today’s  longer  life  span.   	0	Without disadvantaging retiree nearing retirement age eligibility Medicare must made realistic term today’s longer life span
 For most  Americans,  those  who  are  insured  now  or  who seek  insurance  in  the  future,  our  practical,  nonintrusive  reforms  will  promote  flexibility  in  State  leadership  in  healthcare  reform,	0	For Americans insured seek insurance future practical nonintrusive reform promote flexibility State leadership healthcare reform
Substantial investment in the third sector as a social party.	1	Substantial investment third sector social party
We will encourage voluntary integration of services and administration between and within councils – for example, with the Troubled Families Programme and the Better Care Fund – to promote savings and improve local services.	0	We encourage voluntary integration service administration within council – example Troubled Families Programme Better Care Fund – promote saving improve local service
reduce dependence on public sector employment,	0	reduce dependence public sector employment
We will expand and make permanent the New Markets Tax Credit.	0	We expand make permanent New Markets Tax Credit
The current Administration has changed that, replacing civil engineering with social engineering as it pursues an exclusively urban vision of dense housing and government transit.	0	The current Administration changed that replacing civil engineering social engineering pursues exclusively urban vision dense housing government transit
To achieve this, we will back British businesses:	0	To achieve this back British business
We must reject the ideological templates provided by the socialist left and the libertarian right and instead embrace the mainstream view that recognises the good that government can do.	1	We must reject ideological template provided socialist left libertarian right instead embrace mainstream view recognises good government do
We will carefully consider all trade opportunities currently open to Canada,	0	We carefully consider trade opportunity currently open Canada
 limit  federal  requirements  on both  private  insurance  and  Medicaid;	0	limit federal requirement private insurance Medicaid
and of the States which are their instruments of selfgovernment.	0	States instrument selfgovernment
We will continue to crack down on for-profit schools that take millions in federal financial aid—often as their principal source of revenue—and then exploit students and burden them with debt rather than educating them.	1	We continue crack forprofit school take million federal financial aid—often principal source revenue—and exploit student burden debt rather educating them
Federal criminal law should focus on acts by federal employees or acts committed on federal property – and leave the rest to the States.	0	Federal criminal law focus act federal employee act committed federal property – leave rest States
create affordable and workforce housing;	1	create affordable workforce housing
coupled with states reinvesting in higher education and colleges holding the line on costs,	1	coupled state reinvesting higher education college holding line cost
Britain can only be stronger if every nation and region is given the resources and support to succeed.	0	Britain stronger every nation region given resource support succeed
We have unblocked the planning system, to help builders start building again.	0	We unblocked planning system help builder start building again
In town halls, councillors now have more of a say over public spending.	0	In town hall councillor say public spending
We will find £12 billion from welfare savings,	0	We find £12 billion welfare saving
Reducing to think in the emergency has built the rubber wall against which today and main social issues are clashing: demographic aging, increase migratory flows, new poverty.	1	Reducing think emergency built rubber wall today main social issue clashing demographic aging increase migratory flow new poverty
and doing business within our own union are created.	0	business within union created
Wages have barely budged	1	Wages barely budged
Consumer choice is the most powerful factor in healthcare reform.	0	Consumer choice powerful factor healthcare reform
We will act to make terms and conditions clearer,	1	We act make term condition clearer
Before promulgating and imposing any new laws or regulations affecting trust land or members, the federal government should encourage Indian tribes to develop their own policies to achieve program objectives,	0	Before promulgating imposing new law regulation affecting trust land member federal government encourage Indian tribe develop policy achieve program objective
It is essential to reduce the time still excessively long, compared to other western states, for the achievement of professional qualifications, which represents a serious disadvantage of competitiveness for our nation.	1	It essential reduce time still excessively long compared western state achievement professional qualification represents serious disadvantage competitiveness nation
and it will have significant new welfare powers to complement existing devolved powers in health and social care.	0	significant new welfare power complement existing devolved power health social care
Set up a re-industrialization plan in the context of a cooperation associating industry and the STRATEGE to favor the real economy in the face of speculative finance.	1	Set reindustrialization plan context cooperation associating industry STRATEGE favor real economy face speculative finance
and the loss of important community assets such as libraries, youth centres and women’s refuges.	0	loss important community asset library youth centre women’s refuge
While the attainment gap between rich and poor pupils stands at 25 per cent across the country, at selective schools it falls to almost zero.	1	While attainment gap rich poor pupil stand 25 per cent across country selective school fall almost zero
and Repeal  the  Alternative  Minimum  Tax.	0	Repeal Alternative Minimum Tax
 by  empowering its  participants, 	1	empowering participant
and offer grants rather than repayable loans for greenfield investments and investments in existing facilities that guarantee a long-term presence and operation.	0	offer grant rather repayable loan greenfield investment investment existing facility guarantee longterm presence operation
And we must make sure victims receive timely, appropriate and comprehensive treatment for physical, emotional, and psychological trauma resulting from sexual assault.	1	And must make sure victim receive timely appropriate comprehensive treatment physical emotional psychological trauma resulting sexual assault
We will also encourage employers to provide paid vacation.	1	We also encourage employer provide paid vacation
A re-elected Conservative Government will carry out our ten-year plan to lower the tax burden on Canadian manufacturers that acquire the machinery and equipment they need to succeed.	0	A reelected Conservative Government carry tenyear plan lower tax burden Canadian manufacturer acquire machinery equipment need succeed
It should be prohibited by the bailiffs to seize personal property.	0	It prohibited bailiff seize personal property
We will provide seed funding for similar schemes to recruit older professionals from other sectors, including those returning to the workplace having cared for children and relatives	1	We provide seed funding similar scheme recruit older professional sector including returning workplace cared child relative
And we will set a new, significantly higher, permanent level for the Annual Investment Allowance.	0	And set new significantly higher permanent level Annual Investment Allowance
o The prohibition of any hiring by an elected official or a minister of a family member.	1	The prohibition hiring elected official minister family member
 All  of which  will  return  direction  of  the  nation’s  healthcare to  the  people  and  away  from  the  federal  government.	0	All return direction nation’s healthcare people away federal government
57. Provide financial assistance to Russian families	1	57 Provide financial assistance Russian family
and should encourage the private sector to rate competing insurance plans.	0	encourage private sector rate competing insurance plan
We will help companies to hire by lowering social security contributions of 6 points to replace the CICE, and up to 10 points at the minimum wage: employers will save nearly 1,800 euros per year and per employee in the minimum wage, 2200 euros peryear for an employee paid 3000 euros gross per month.	0	We help company hire lowering social security contribution 6 point replace CICE 10 point minimum wage employer save nearly 1800 euro per year per employee minimum wage 2200 euro peryear employee paid 3000 euro gross per month
Democrats will fight to make sure these workers and their families get the benefits they have earned and the respect they deserve,	1	Democrats fight make sure worker family get benefit earned respect deserve
Our reforms to what is taught in schools have been profound.	1	Our reform taught school profound
 for  in  healthcare,  as  in  any  other sector  of  the  economy,  genuine  competition  is  the best  guarantee  of  better  care  at  lower  cost.	0	healthcare sector economy genuine competition best guarantee better care lower cost
State  efforts  to  reduce  illegal  immigration  must be  encouraged,  not  attacked.  	0	State effort reduce illegal immigration must encouraged attacked
School choice—whether through charter schools, open enrollment requests, college lab schools, virtual schools, career and technical education programs, vouchers, or tax credits—is important for all children,	0	School choice—whether charter school open enrollment request college lab school virtual school career technical education program voucher tax credits—is important child
Properly negotiated and implemented, free trade agreements are good for the Canadian economy.	0	Properly negotiated implemented free trade agreement good Canadian economy
Introduce state regulation of the deployment of productive forces.	1	Introduce state regulation deployment productive force
make the Welsh Government responsible for raising more of the money it spends so the Welsh people can hold their politicians to account.	0	make Welsh Government responsible raising money spends Welsh people hold politician account
· We will set up the care at 100% of hearing and dental glasses and prostheses by 2022, in connection with mutuals and all health professionals.	1	· We set care 100 hearing dental glass prosthesis 2022 connection mutuals health professional
And we will fight against insurers trying to impose excessive premium increases.	1	And fight insurer trying impose excessive premium increase
Democrats believe we must have the best-educated population and workforce in the world.	1	Democrats believe must besteducated population workforce world
and promoting Canadian products in new markets including through the Trans-Pacific Partnership.	0	promoting Canadian product new market including TransPacific Partnership
as well as defending and extending tax incentives for energy efficiency and clean energy.	0	well defending extending tax incentive energy efficiency clean energy
and will seek to build upon the favourable tax arrangements that have helped them, including the highly successful creative industries tax credits scheme.	0	seek build upon favourable tax arrangement helped them including highly successful creative industry tax credit scheme
If you suffer from mental health problems, there is not enough help at hand.	1	If suffer mental health problem enough help hand
and lowering taxes on small businesses is the right way for government to protect Canada's fragile economy and create jobs.	0	lowering tax small business right way government protect Canadas fragile economy create job
We will go further in the next Parliament, pushing power out beyond Westminster, Cardiff Bay, Holyrood and Stormont, so we keep our United Kingdom strong and secure for the long term.	0	We go next Parliament pushing power beyond Westminster Cardiff Bay Holyrood Stormont keep United Kingdom strong secure long term
and that recipients uphold the integrity of the honours bestowed.	1	recipient uphold integrity honour bestowed
to ensure that all American Indians have adequate, safe, and affordable access to primary care providers, including oral health, mental health practitioners, and substance abuse treatment options.	1	ensure American Indians adequate safe affordable access primary care provider including oral health mental health practitioner substance abuse treatment option
 Unless  the  programs’  fiscal ship  is  righted,  the  individuals hurt  the  first  and  the  worst  will  be those  who  depend  on  them  the most.  	1	Unless programs’ fiscal ship righted individual hurt first worst depend most
An impressive number.	0	An impressive number
There should be alternatives to hospitalization for chronic health problems.	1	There alternative hospitalization chronic health problem
We want to go further.	1	We want go further
We must end tax discrimination against the individual purchase of insurance and allow consumers to purchase insurance across State lines.	0	We must end tax discrimination individual purchase insurance allow consumer purchase insurance across State line
Yet there's more to accomplish.	0	Yet there accomplish
American businesses now face the world’s highest corporate tax rate.	0	American business face world’s highest corporate tax rate
Trade agreements should crack down on the unfair and illegal subsidies other countries grant their businesses at the expense of ours.	0	Trade agreement crack unfair illegal subsidy country grant business expense ours
. We will explore how to give consumers a voice in the regulation of business.	1	We explore give consumer voice regulation business
59. Help childless	1	59 Help childless
Because technology has become an essential tool of learning, proper implementation of technology is a key factor in providing every child equal access and opportunity.	1	Because technology become essential tool learning proper implementation technology key factor providing every child equal access opportunity
We will work with the provinces and territories	0	We work province territory
We will ban golden parachutes for those taking government jobs.	1	We ban golden parachute taking government job
and failed to overcome burdensome regulatory, contracting, and capital barriers.	0	failed overcome burdensome regulatory contracting capital barrier
Finally, Democrats will restore the prior standard in bankruptcy law to allow borrowers with student loans to be able to discharge their debts in bankruptcy as a measure of last resort.	1	Finally Democrats restore prior standard bankruptcy law allow borrower student loan able discharge debt bankruptcy measure last resort
The UK’s future prosperity depends on minimising tariff and non-tariff barriers that prevent us from exporting and creating the jobs and economic growth we need.	0	The UK’s future prosperity depends minimising tariff nontariff barrier prevent u exporting creating job economic growth need
We will develop an export incentive scheme for SMEs based on international best practice,	0	We develop export incentive scheme SMEs based international best practice
