text,label,cleaned_text
We also support creating one fair wage for all workers by ending the sub-minimum wage for tipped workers and people with disabilities.,1,We also support creating one fair wage worker ending subminimum wage tipped worker people disability
"Democrats support a model employer executive order or some other vehicle to leverage federal dollars to support employers who provide their workers with a living wage,",1,Democrats support model employer executive order vehicle leverage federal dollar support employer provide worker living wage
"good benefits,",1,good benefit
and the opportunity to form a union without reprisal.,1,opportunity form union without reprisal
"The Democratic Party believes that when workers are strong, America is strong.",1,The Democratic Party belief worker strong America strong
"Democrats will make it easier for workers, public and private, to exercise their right to organize and join unions.",1,Democrats make easier worker public private exercise right organize join union
"We will fight to pass laws that direct the National Labor Relations Board to certify a union if a simple majority of eligible workers sign valid authorization cards,",1,We fight pas law direct National Labor Relations Board certify union simple majority eligible worker sign valid authorization card
as well as laws that bring companies to the negotiating table.,1,well law bring company negotiating table
We support binding arbitration to help workers who have voted to join a union reach a first contract.,1,We support binding arbitration help worker voted join union reach first contract
A major factor in the 40-year decline in the middle class is that the rights of workers to bargain collectively for better wages and benefits have been under attack at all levels.,1,A major factor 40year decline middle class right worker bargain collectively better wage benefit attack level
Donald Trump would make matters worse by creating a race to the bottom where the middle class is fighting over fewer and fewer good-paying jobs.,1,Donald Trump would make matter worse creating race bottom middle class fighting fewer fewer goodpaying job
Democrats believe so-called “right to work” laws are wrong for workers—such as teachers and other public employees who serve our communities every day—and wrong for America.,1,Democrats believe socalled “right work” law wrong workers—such teacher public employee serve community every day—and wrong America
"We will continue to vigorously oppose those laws and other efforts that would eliminate dues check-off procedures,",1,We continue vigorously oppose law effort would eliminate due checkoff procedure
"roll-back prevailing wage standards,",1,rollback prevailing wage standard
"abolish fair share requirements,",1,abolish fair share requirement
"restrict the use of voluntary membership payments for political purposes,",1,restrict use voluntary membership payment political purpose
"attack seniority, restrict due process protections,",1,attack seniority restrict due process protection
and require annual recertification efforts.,1,require annual recertification effort
We oppose legislation and lawsuits that would strike down laws protecting the rights of teachers and other public employees.,1,We oppose legislation lawsuit would strike law protecting right teacher public employee
"We will defend President Obama's overtime rule, which protects of millions of workers by paying them fairly for their hard work.",1,We defend President Obamas overtime rule protects million worker paying fairly hard work
"The Democratic Party believes consumers, workers, students, retirees, and investors who have been mistreated should never be denied their right to fight for fair treatment under the law.",1,The Democratic Party belief consumer worker student retiree investor mistreated never denied right fight fair treatment law
"We will fight to secure equal pay for women, which will benefit all women and their families,",1,We fight secure equal pay woman benefit woman family
"particularly women of color who are disproportionately impacted by discriminatory pay practices, and against other factors that contribute to the wage gap.",1,particularly woman color disproportionately impacted discriminatory pay practice factor contribute wage gap
And we will combat the discrimination they face on and off the job.,1,And combat discrimination face job
"While Donald Trump thinks it is “dangerous” for women to leave the home and paid family leave hurts our economy,",1,While Donald Trump think “dangerous” woman leave home paid family leave hurt economy
Democrats will make sure that the United States finally enacts national paid family and medical leave by passing a family and medical leave act that would provide all workers at least 12 weeks of paid leave to care for a new child or address a personal or family member’s serious health issue.,1,Democrats make sure United States finally enacts national paid family medical leave passing family medical leave act would provide worker least 12 week paid leave care new child address personal family member’s serious health issue
Our work and family policies must also help family caregivers.,1,Our work family policy must also help family caregiver
We will address the conditions that make it hard for workers with unpredictable or inflexible schedules to meet caregiving responsibilities.,1,We address condition make hard worker unpredictable inflexible schedule meet caregiving responsibility
"boost wages for childcare workers,",1,boost wage childcare worker
"Not only will this help address the affordable housing crisis, it will also create millions of good-paying jobs in the process.",1,Not help address affordable housing crisis also create million goodpaying job process
"Democrats believe that we should provide more federal resources to the people struggling most with unaffordable housing: low-income families, people with disabilities, veterans, and the elderly.",1,Democrats believe provide federal resource people struggling unaffordable housing lowincome family people disability veteran elderly
especially in communities of color;,1,especially community color
"And we will fight for robust funding to end homelessness in our cities and counties once and for all, through targeted investments to provide the necessary outreach, social services, and housing options for all populations experiencing homelessness.",1,And fight robust funding end homelessness city county all targeted investment provide necessary outreach social service housing option population experiencing homelessness
"We will engage in a stronger, more coordinated, and better funded partnership among federal, state, and local governments to end chronic homelessness for millions of Americans.",1,We engage stronger coordinated better funded partnership among federal state local government end chronic homelessness million Americans
We will build on and expand President Obama's promising initiatives to end veteran and family homelessness in our country.,1,We build expand President Obamas promising initiative end veteran family homelessness country
"These steps are especially important because over the next decade most new households will be formed by families in communities of color, which typically have less generational wealth and fewer resources to put towards a down payment.",1,These step especially important next decade new household formed family community color typically le generational wealth fewer resource put towards payment
It also provides important life insurance to young survivors of deceased workers and provides disability insurance protection.,1,It also provides important life insurance young survivor deceased worker provides disability insurance protection
"including women who are widowed or took time out of the workforce to care for their children, aging parents, or ailing family members.",1,including woman widowed took time workforce care child aging parent ailing family member
Democrats believe it should be easier for Americans to save for retirement and prepare for unforeseen risks and expenses.,1,Democrats believe easier Americans save retirement prepare unforeseen risk expense
We will defend the right of workers to collect their defined benefit pensions and make sure workers get priority and protection when pension plans are in distress.,1,We defend right worker collect defined benefit pension make sure worker get priority protection pension plan distress
"Seniors should not have to choose between putting food on the table, keeping a roof over their heads, or buying the medication that they need to stay healthy.",1,Seniors choose putting food table keeping roof head buying medication need stay healthy
"We are also committed to fighting the immense problem of elder abuse, neglect, and exploitation.",1,We also committed fighting immense problem elder abuse neglect exploitation
It also includes promoting vote-by-mail to increase voter participation and to help address the scourge of voter suppression.,1,It also includes promoting votebymail increase voter participation help address scourge voter suppression
Democrats know that nothing is more important than creating good-paying jobs that can support a middle-class life,1,Democrats know nothing important creating goodpaying job support middleclass life
"—from nurses, firefighters, and teachers to construction workers, factory workers, and small business owners.",1,—from nurse firefighter teacher construction worker factory worker small business owner
"That is why we are committed to doing everything we can to build a full-employment economy, where everyone has a job that pays enough to raise a family and live in dignity with a sense of purpose.",1,That committed everything build fullemployment economy everyone job pay enough raise family live dignity sense purpose
and put millions of Americans back to work in decent paying jobs in both the public and private sectors.,1,put million Americans back work decent paying job public private sector
"These investments will create secure, good-paying middle-class jobs today and will substantially increase demand for American-made steel and other products manufactured in the United States.",1,These investment create secure goodpaying middleclass job today substantially increase demand Americanmade steel product manufactured United States
"And by boosting economic growth in a fair and equitable way, and strengthening our long-term competitiveness, these investments will create many more jobs in the years to come.",1,And boosting economic growth fair equitable way strengthening longterm competitiveness investment create many job year come
"Democrats believe one of the best ways to innovate, prosper, and create good-paying jobs is to make more in America, which is why we firmly support American manufacturing with a “Make it in America” plan.",1,Democrats believe one best way innovate prosper create goodpaying job make America firmly support American manufacturing “Make America” plan
We must revitalize hard-hit manufacturing communities;,1,We must revitalize hardhit manufacturing community
create thriving hubs of manufacturing and innovation throughout the country;,1,create thriving hub manufacturing innovation throughout country
American workers deserve better.,1,American worker deserve better
We are focused on creating good jobs in communities across America.,1,We focused creating good job community across America
"especially women and people of color,",1,especially woman people color
"We must harness these forces so that they create higher-paying jobs across the country,",1,We must harness force create higherpaying job across country
"bring more people into the workforce,",1,bring people workforce
and reduce inequality.,1,reduce inequality
and promote inclusion in the digital economy;,1,promote inclusion digital economy
and enhance opportunities to achieve greater economic self-sufficiency for people with disabilities.,1,enhance opportunity achieve greater economic selfsufficiency people disability
"Democrats support a free and open internet at home and abroad, and will oppose any effort by Republicans to roll back the historic net neutrality rules that the Federal Communications Commission enacted last year.",1,Democrats support free open internet home abroad oppose effort Republicans roll back historic net neutrality rule Federal Communications Commission enacted last year
"We will protect the intellectual property rights of artists, creators, and inventors at home and abroad.",1,We protect intellectual property right artist creator inventor home abroad
The entire nation prospers when we promote the unique and original artistic and cultural contributions of the women and men who create and preserve our nation’s heritage.,1,The entire nation prospers promote unique original artistic cultural contribution woman men create preserve nation’s heritage
Democrats will fight against unfair theft of intellectual property and trade secrets.,1,Democrats fight unfair theft intellectual property trade secret
"Democrats also realize the critical importance of small businesses as engines of opportunity for women, people of color, tribes, and people in rural America, and will work to nurture entrepreneurship.",1,Democrats also realize critical importance small business engine opportunity woman people color tribe people rural America work nurture entrepreneurship
Democrats will make investments to spur the creation of millions of jobs for our young people.,1,Democrats make investment spur creation million job young people
"Roughly one in ten Americans between the ages of 16 and 24 is unemployed, more than twice the national average.",1,Roughly one ten Americans age 16 24 unemployed twice national average
"The unemployment rates for African American, Latino, Asian American and Pacific Islander (AAPI), and American Indian teenager sand youth with disabilities are far too high.",1,The unemployment rate African American Latino Asian American Pacific Islander AAPI American Indian teenager sand youth disability far high
That is why Democrats will provide direct federal funding for a range of local programs that will put young people to work and create new career opportunities.,1,That Democrats provide direct federal funding range local program put young people work create new career opportunity
"Democrats believe that today’s extreme levels of income and wealth inequality are bad for our people, bad for our businesses, and bad for our economy.",1,Democrats believe today’s extreme level income wealth inequality bad people bad business bad economy
"Our country depends on a thriving middle class to drive economic growth, but the middle class is shrinking.",1,Our country depends thriving middle class drive economic growth middle class shrinking
These trends create problems beyond insulting our sense of basic fairness.,1,These trend create problem beyond insulting sense basic fairness
Children who are born to families in the lowest fifth of earnings are more than 10 times more likely to remain there as adults than they are to earn as much as those in the top fifth.,1,Children born family lowest fifth earnings 10 time likely remain adult earn much top fifth
"Unless we invest in building a level playing field, we all lose.",1,Unless invest building level playing field lose
“Equal Justice Under Law” will not just be words engraved on the entrance of the Supreme Court.,1,“Equal Justice Under Law” word engraved entrance Supreme Court
Democrats will also continue to support the CFPB in enforcing foundational civil rights laws protecting against discrimination in consumer lending.,1,Democrats also continue support CFPB enforcing foundational civil right law protecting discrimination consumer lending
which can be corrosive to a healthy democracy.,1,corrosive healthy democracy
"At a time of massive income and wealth inequality,",1,At time massive income wealth inequality
we believe the wealthiest Americans and largest corporations must pay their fair share of taxes.,1,believe wealthiest Americans largest corporation must pay fair share tax
"Democrats will claw back tax breaks for companies that ship jobs overseas,",1,Democrats claw back tax break company ship job overseas
that will lead to millions of good-paying jobs.,1,lead million goodpaying job
We will ensure those at the top contribute to our country’s future by establishing a multimillionaire surtax to ensure millionaires and billionaires pay their fair share.,1,We ensure top contribute country’s future establishing multimillionaire surtax ensure millionaire billionaire pay fair share
and ensure millionaires can no longer pay a lower rate than their secretaries.,1,ensure millionaire longer pay lower rate secretary
"Democrats believe that no one should be able avoid paying their fair share by hiding money abroad,",1,Democrats believe one able avoid paying fair share hiding money abroad
And we will make sure that law-abiding Americans living abroad are not unfairly penalized by finding the right solutions for them to the requirements under the Foreign Account Tax Compliance Act (FATCA) and Report of Foreign Bank and Financial Accounts (FBAR).,1,And make sure lawabiding Americans living abroad unfairly penalized finding right solution requirement Foreign Account Tax Compliance Act FATCA Report Foreign Bank Financial Accounts FBAR
"at the expense of working families, seniors, and the health of our economy.",1,expense working family senior health economy
and too many corporations outsourcing jobs at the expense of American workers and communities.,1,many corporation outsourcing job expense American worker community
"while at the same time failing to protect workers’ rights, labor standards,",1,time failing protect workers’ right labor standard
We need to end the race to the bottom and develop trade policies that support jobs in America.,1,We need end race bottom develop trade policy support job America
That is why Democrats believe we should review agreements negotiated years ago to update them to reflect these principles.,1,That Democrats believe review agreement negotiated year ago update reflect principle
Any future trade agreements must make sure our trading partners cannot undercut American workers by taking shortcuts on labor policy,1,Any future trade agreement must make sure trading partner cannot undercut American worker taking shortcut labor policy
"They must not undermine democratic decision-making through special privileges and private courts for corporations,",1,They must undermine democratic decisionmaking special privilege private court corporation
"we will oppose trade agreements that do not support good American jobs, raise wages,",1,oppose trade agreement support good American job raise wage
And it should protect a free and open internet.,1,And protect free open internet
Democrats believe that everyone deserves the chance to live up to his or her God-given potential.,1,Democrats believe everyone deserves chance live Godgiven potential
"We know that there are barriers standing in the way of that goal,",1,We know barrier standing way goal
from the enduring scourge of systemic racism,1,enduring scourge systemic racism
to our deeply broken immigration system,1,deeply broken immigration system
to discrimination against people on the basis of sexual orientation or gender identity,1,discrimination people basis sexual orientation gender identity
—and we are committed to facing those problems and fixing them.,1,—and committed facing problem fixing them
"Being stronger together means reaching communities that have been left out and left behind for too long, from coal country to Indian Country to neighborhoods held back by multigenerational poverty.",1,Being stronger together mean reaching community left left behind long coal country Indian Country neighborhood held back multigenerational poverty
"In America, we do not tear each other down—we lift each other up.",1,In America tear down—we lift up
Democrats will fight to end institutional and systemic racism in our society.,1,Democrats fight end institutional systemic racism society
"We will challenge and dismantle the structures that define lasting racial, economic, political, and social inequity.",1,We challenge dismantle structure define lasting racial economic political social inequity
"Democrats will promote racial justice through fair, just, and equitable governing of all public-serving institutions and in the formation of public policy.",1,Democrats promote racial justice fair just equitable governing publicserving institution formation public policy
"Democrats support removing the Confederate battle flag from public properties, recognizing that it is a symbol of our nation's racist past that has no place in our present or our future.",1,Democrats support removing Confederate battle flag public property recognizing symbol nation racist past place present future
We will push for a societal transformation to make it clear that black lives matter and that there is no place for racism in our country.,1,We push societal transformation make clear black life matter place racism country
America’s economic inequality problem is even more pronounced when it comes to racial and ethnic disparities in wealth and income.,1,America’s economic inequality problem even pronounced come racial ethnic disparity wealth income
It is unacceptable that the median wealth for African Americans and Latino Americans is roughly one-tenth that of white Americans.,1,It unacceptable median wealth African Americans Latino Americans roughly onetenth white Americans
"These disparities are also stark for American Indians and certain Asian American subgroups, and may become even more significant when considering other characteristics such as age, disability status, sexual",1,These disparity also stark American Indians certain Asian American subgroup may become even significant considering characteristic age disability status sexual
The racial wealth and income gaps are the result of policies that discriminate against people of color,1,The racial wealth income gap result policy discriminate people color
and constrain their ability to earn income and build assets to the same extent as other Americans.,1,constrain ability earn income build asset extent Americans
It has accumulated over time and is made worse by ongoing policies and practices.,1,It accumulated time made worse ongoing policy practice
"For example, African Americans and Latinos lost more than half of their net worth as a result of the housing crisis and the Great Recession, because they lost jobs at a much faster rate than white workers and because they were disproportionately targeted for subprime, predatory, and fraudulent mortgages during the run-up to the housing crisis.",1,For example African Americans Latinos lost half net worth result housing crisis Great Recession lost job much faster rate white worker disproportionately targeted subprime predatory fraudulent mortgage runup housing crisis
Democrats believe it is long past time to close this racial wealth gap.,1,Democrats believe long past time close racial wealth gap
and improving opportunities for people from all racial and ethnic backgrounds to build wealth.,1,improving opportunity people racial ethnic background build wealth
"Federal policies must remove barriers to achieving sustainable homeownership,",1,Federal policy must remove barrier achieving sustainable homeownership
"provide for greater diversity in federal and state contracting practices,",1,provide greater diversity federal state contracting practice
"incentivize and expand access to retirement investment programs,",1,incentivize expand access retirement investment program
"increase opportunities for quality jobs and education,",1,increase opportunity quality job education
and challenge the deeply rooted structures that perpetuate and exacerbate current disparities and ultimately stagnate the nation’s economic growth and security.,1,challenge deeply rooted structure perpetuate exacerbate current disparity ultimately stagnate nation’s economic growth security
Democrats are committed to reforming our criminal justice system and ending mass incarceration.,1,Democrats committed reforming criminal justice system ending mass incarceration
"Something is profoundly wrong when almost a quarter of the world’s prison population is in the United States, even though our country has less than five percent of the world’s population.",1,Something profoundly wrong almost quarter world’s prison population United States even though country le five percent world’s population
We will reform mandatory minimum sentences and close private prisons and detention centers.,1,We reform mandatory minimum sentence close private prison detention center
"Research and evidence, rather than slogans and sound bites, must guide criminal justice policies.",1,Research evidence rather slogan sound bite must guide criminal justice policy
"Across the country, there are police officers inspiring trust and confidence, honorably doing their duty, deploying creative and effective strategies, and demonstrating that it is possible to prevent crime without relying on unnecessary force.",1,Across country police officer inspiring trust confidence honorably duty deploying creative effective strategy demonstrating possible prevent crime without relying unnecessary force
"They deserve our respect and support, and we should learn from those examples and build on what works.",1,They deserve respect support learn example build work
We will work with police chiefs to invest in training for officers on issues such as de-escalation and the creation of national guidelines for the appropriate use of force.,1,We work police chief invest training officer issue deescalation creation national guideline appropriate use force
"We will encourage better police-community relations, require the use of body cameras, and stop the use of weapons of war that have no place in our communities.",1,We encourage better policecommunity relation require use body camera stop use weapon war place community
"We will end racial profiling that targets individuals solely on the basis of race, religion, ethnicity, or national origin, which is un-American and counterproductive.",1,We end racial profiling target individual solely basis race religion ethnicity national origin unAmerican counterproductive
"We will require the Department of Justice to investigate all questionable or suspicious police-involved shootings,",1,We require Department Justice investigate questionable suspicious policeinvolved shooting
We will assist states in providing a system of public defense that is adequately resourced and which meets American Bar Association standards.,1,We assist state providing system public defense adequately resourced meet American Bar Association standard
And we will reform the civil asset forfeiture system to protect people and remove perverse incentives for law enforcement to “police for a profit.”,1,And reform civil asset forfeiture system protect people remove perverse incentive law enforcement “police profit”
"Instead of investing in more jails and incarceration, we need to invest more in jobs and education, and end the school-to-prison pipeline.",1,Instead investing jail incarceration need invest job education end schooltoprison pipeline
"We will remove barriers to help formerly incarcerated individuals successfully re-enter society by “banning the box,” expanding reentry programs, and restoring voting rights.",1,We remove barrier help formerly incarcerated individual successfully reenter society “banning box” expanding reentry program restoring voting right
"We think the next President should take executive action to ban the box for federal employers and contractors, so applicants have an opportunity to demonstrate their qualifications before being asked about their criminal records.",1,We think next President take executive action ban box federal employer contractor applicant opportunity demonstrate qualification asked criminal record
"The ""war on drugs"" has led to the imprisonment of millions of Americans, disproportionately people of color, without reducing drug use.",1,The war drug led imprisonment million Americans disproportionately people color without reducing drug use
"Whenever possible, Democrats will prioritize prevention and treatment over incarceration when tackling addiction and substance use disorder.",1,Whenever possible Democrats prioritize prevention treatment incarceration tackling addiction substance use disorder
"We will build on effective models of drug courts, veterans’ courts, and other diversionary programs that seek to give nonviolent offenders opportunities for rehabilitation as opposed to incarceration.",1,We build effective model drug court veterans’ court diversionary program seek give nonviolent offender opportunity rehabilitation opposed incarceration
"Because of conflicting federal and state laws concerning marijuana, we encourage the federal government to remove marijuana from the list of “Schedule 1"" federal controlled substances and to appropriately regulate it, providing a reasoned pathway for future legalization.",1,Because conflicting federal state law concerning marijuana encourage federal government remove marijuana list “Schedule 1 federal controlled substance appropriately regulate it providing reasoned pathway future legalization
"We support policies that will allow more research on marijuana, as well as reforming our laws to allow legal marijuana businesses to exist without uncertainty.",1,We support policy allow research marijuana well reforming law allow legal marijuana business exist without uncertainty
"And we recognize our current marijuana laws have had an unacceptable disparate impact in terms of arrest rates for African Americans that far outstrip arrest rates for whites, despite similar usage rates.",1,And recognize current marijuana law unacceptable disparate impact term arrest rate African Americans far outstrip arrest rate white despite similar usage rate
"We will abolish the death penalty, which has proven to be a cruel and unusual form of punishment.",1,We abolish death penalty proven cruel unusual form punishment
It has no place in the United States of America.,1,It place United States America
The application of the death penalty is arbitrary and unjust.,1,The application death penalty arbitrary unjust
"And, exonerations show a dangerous lack of reliability for what is an irreversible punishment.",1,And exoneration show dangerous lack reliability irreversible punishment
"We have been inspired by the movements for criminal justice that directly address the discriminatory treatment of African Americans, Latinos, Asian Americans and Pacific Islanders, and American Indians to rebuild trust in the criminal justice system.",1,We inspired movement criminal justice directly address discriminatory treatment African Americans Latinos Asian Americans Pacific Islanders American Indians rebuild trust criminal justice system
"The United States was founded as, and continues to be, a country of immigrants from throughout the world.",1,The United States founded a continues be country immigrant throughout world
It is no coincidence that the Statue of Liberty is one of our most profound national symbols.,1,It coincidence Statue Liberty one profound national symbol
"And that is why Democrats believe immigration is not just a problem to be solved, it is a defining aspect of the American character and our shared history.",1,And Democrats believe immigration problem solved defining aspect American character shared history
"The Democratic Party supports legal immigration, within reasonable limits, that meets the needs of families, communities, and the economy",1,The Democratic Party support legal immigration within reasonable limit meet need family community economy
People should come to the United States with visas and not through smugglers.,1,People come United States visa smuggler
"Yet, we recognize that the current immigration system is broken.",1,Yet recognize current immigration system broken
"More than 11 million people are living in the shadows, without proper documentation.",1,More 11 million people living shadow without proper documentation
"The current quota system discriminates against certain immigrants, including immigrants of color, and needs to be reformed to the realities of the 21st century.",1,The current quota system discriminates certain immigrant including immigrant color need reformed reality 21st century
And there are real questions about our detention and deportation policies that must be addressed.,1,And real question detention deportation policy must addressed
Democrats believe we need to urgently fix our broken immigration system—which tears families apart and keeps workers in the shadows—,1,Democrats believe need urgently fix broken immigration system—which tear family apart keep worker shadows—
"and create a path to citizenship for law-abiding families who are here, making a better life for their families and contributing to their communities and our country.",1,create path citizenship lawabiding family here making better life family contributing community country
"We should repeal the 3-year, 10-year and permanent bars, which often force persons in mixed status families into the heartbreaking dilemma of either pursuing a green card by leaving the country and their loved ones behind, or remaining in the shadows.",1,We repeal 3year 10year permanent bar often force person mixed status family heartbreaking dilemma either pursuing green card leaving country loved one behind remaining shadow
We will work with Congress to end the forced and prolonged expulsion from the country that these immigrants endure when trying to adjust their status.,1,We work Congress end forced prolonged expulsion country immigrant endure trying adjust status
We must fix family backlogs and defend against those who would exclude or eliminate legal immigration avenues and denigrate immigrants.,1,We must fix family backlog defend would exclude eliminate legal immigration avenue denigrate immigrant
"And while we continue to fight for comprehensive immigration reform, we will defend and implement President Obama’s Deferred Action for Childhood Arrivals and Deferred Action for Parents of Americans executive actions to help DREAMers, parents of citizens, and lawful permanent residents avoid deportation.",1,And continue fight comprehensive immigration reform defend implement President Obama’s Deferred Action Childhood Arrivals Deferred Action Parents Americans executive action help DREAMers parent citizen lawful permanent resident avoid deportation
"We will build on these actions to provide relief for others, such as parents of DREAMers.",1,We build action provide relief others parent DREAMers
We will support efforts by states to make DREAMers eligible for driver's licenses and in-state college tuition.,1,We support effort state make DREAMers eligible driver license instate college tuition
"We will invest in culturally-appropriate immigrant integration services, expand access to English language education, and promote naturalization to help the millions of people who are eligible for citizenship take that last step.",1,We invest culturallyappropriate immigrant integration service expand access English language education promote naturalization help million people eligible citizenship take last step
We believe immigration enforcement must be humane and consistent with our values.,1,We believe immigration enforcement must humane consistent value
"We should prioritize those who pose a threat to the safety of our communities, not hardworking families who are contributing to their communities.",1,We prioritize pose threat safety community hardworking family contributing community
"We will end raids and roundups of children and families, which unnecessarily sow fear in immigrant communities.",1,We end raid roundup child family unnecessarily sow fear immigrant community
"We disfavor deportations of immigrants who served in our armed forces, and we want to create a faster path for such veterans to citizenship.",1,We disfavor deportation immigrant served armed force want create faster path veteran citizenship
We should ensure due process for those fleeing violence in Central America and work with our regional partners to address the root causes of violence.,1,We ensure due process fleeing violence Central America work regional partner address root cause violence
"We must take particular care with children, which is why we should guarantee government-funded counsel for unaccompanied children in immigration courts.",1,We must take particular care child guarantee governmentfunded counsel unaccompanied child immigration court
"We should consider all available means of protecting these individuals from the threats to their lives and safety—including strengthening in-country and third-country processing, expanding the use of humanitarian parole, and granting Temporary Protected Status.",1,We consider available mean protecting individual threat life safety—including strengthening incountry thirdcountry processing expanding use humanitarian parole granting Temporary Protected Status
"We will also vigorously oversee any programs put in place, to make sure that there are no abuses and no arbitrary deportation programs.",1,We also vigorously oversee program put place make sure abuse arbitrary deportation program
We will establish an affirmative process for workers to report labor violations and to request deferred action.,1,We establish affirmative process worker report labor violation request deferred action
We will work to ensure that all Americans—regardless of immigration status—have access to quality health care.,1,We work ensure Americans—regardless immigration status—have access quality health care
And we will expand opportunities for DREAMers to serve in the military and to then receive expedited pathways to citizenship.,1,And expand opportunity DREAMers serve military receive expedited pathway citizenship
"We will fight to end federal, state, and municipal contracts with for-profit private prisons and private detention centers.",1,We fight end federal state municipal contract forprofit private prison private detention center
"In order to end family detention, we will ensure humane alternatives for those who pose no public threat.",1,In order end family detention ensure humane alternative pose public threat
"We recognize that there are vulnerable communities within our immigration system who are often seeking refuge from persecution abroad, such as LGBT families, for whom detention can be unacceptably dangerous.",1,We recognize vulnerable community within immigration system often seeking refuge persecution abroad LGBT family detention unacceptably dangerous
